-13,-17,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,XP+6Y61h70cx43ChC+H9fC8xtFU=
-12,-17,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,XP+6Y61h70cx43ChC+H9fC8xtFU=
-13,-16,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,D/AaOJnNRepdYGqPiVkO2l7JFng=
-12,-16,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,D/AaOJnNRepdYGqPiVkO2l7JFng=
-11,-16,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,KS4yh6T8I0ihpbU2c1vA/5hl2qY=
-13,-15,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,ZLcFfpWnxOynOrxpLxYCnWPQtws=
-12,-15,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,ZLcFfpWnxOynOrxpLxYCnWPQtws=
-11,-15,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,ZLcFfpWnxOynOrxpLxYCnWPQtws=
-10,-15,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,D/AaOJnNRepdYGqPiVkO2l7JFng=
-9,-15,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,XP+6Y61h70cx43ChC+H9fC8xtFU=
-14,-14,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,KS4yh6T8I0ihpbU2c1vA/5hl2qY=
-13,-14,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,KS4yh6T8I0ihpbU2c1vA/5hl2qY=
-12,-14,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,ZLcFfpWnxOynOrxpLxYCnWPQtws=
-11,-14,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,XP+6Y61h70cx43ChC+H9fC8xtFU=
-10,-14,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,XP+6Y61h70cx43ChC+H9fC8xtFU=
-9,-14,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,ZLcFfpWnxOynOrxpLxYCnWPQtws=
-14,-13,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,KS4yh6T8I0ihpbU2c1vA/5hl2qY=
-13,-13,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,D/AaOJnNRepdYGqPiVkO2l7JFng=
-12,-13,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,XP+6Y61h70cx43ChC+H9fC8xtFU=
-9,-13,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,ZLcFfpWnxOynOrxpLxYCnWPQtws=
-8,-13,PSHW1sBwWSJ1gN6ZYTu1kunlYK4=,KS4yh6T8I0ihpbU2c1vA/5hl2qY=
-14,-12,A6ulZufSDhJjJMIUYD0FXaYQCJo=,D/AaOJnNRepdYGqPiVkO2l7JFng=
-13,-12,A6ulZufSDhJjJMIUYD0FXaYQCJo=,KS4yh6T8I0ihpbU2c1vA/5hl2qY=
-8,-12,A6ulZufSDhJjJMIUYD0FXaYQCJo=,D/AaOJnNRepdYGqPiVkO2l7JFng=
-7,-12,A6ulZufSDhJjJMIUYD0FXaYQCJo=,XP+6Y61h70cx43ChC+H9fC8xtFU=
-15,-11,A6ulZufSDhJjJMIUYD0FXaYQCJo=,5nircNKnycU1sRyZ9ObbckBeb5Y=
-14,-11,A6ulZufSDhJjJMIUYD0FXaYQCJo=,A96NBtX4bvzyqqNVzgNLT3VgkuM=
-13,-11,A6ulZufSDhJjJMIUYD0FXaYQCJo=,s2IbzV1bpmTEIF6f2BihUBkpdqU=
-12,-11,A6ulZufSDhJjJMIUYD0FXaYQCJo=,s2IbzV1bpmTEIF6f2BihUBkpdqU=
-8,-11,A6ulZufSDhJjJMIUYD0FXaYQCJo=,OxAkD997pkAa+bddw39J+WbiYro=
